Time taken: 0.012139081954956055
{1: 8, 2: 2, 3: 9, 4: 6, 5: 9, 6: 1, 7: 4, 8: 7, 9: 10, 10: 3}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 9, 6: 1, 7: 4, 8: 7, 9: 10, 10: 3}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 3, 6: 1, 7: 4, 8: 7, 9: 10, 10: 3}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 3, 6: 1, 7: 4, 8: 7, 9: 10, 10: 3}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 3, 6: 1, 7: 4, 8: 7, 9: 10, 10: 4}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 3, 6: 1, 7: 4, 8: 7, 9: 10, 10: 6}
{1: 8, 2: 2, 3: 9, 4: 9, 5: 3, 6: 1, 7: 4, 8: 7, 9: 10, 10: 6}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 3, 6: 1, 7: 4, 8: 7, 9: 10, 10: 6}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 3, 6: 1, 7: 4, 8: 7, 9: 10, 10: 6}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 3, 6: 1, 7: 4, 8: 7, 9: 10, 10: 6}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 3, 6: 1, 7: 4, 8: 7, 9: 10, 10: 6}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 3, 6: 1, 7: 4, 8: 7, 9: 10, 10: 4}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 3, 6: 1, 7: 4, 8: 7, 9: 10, 10: 6}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 3, 6: 1, 7: 4, 8: 7, 9: 10, 10: 3}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 1, 6: 1, 7: 4, 8: 7, 9: 10, 10: 3}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 1, 6: 1, 7: 4, 8: 7, 9: 10, 10: 3}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 1, 6: 1, 7: 4, 8: 7, 9: 10, 10: 3}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 1, 6: 1, 7: 4, 8: 7, 9: 10, 10: 3}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 9, 6: 1, 7: 4, 8: 7, 9: 10, 10: 3}
{1: 8, 2: 2, 3: 9, 4: 6, 5: 9, 6: 1, 7: 4, 8: 7, 9: 10, 10: 3}
